-739.204,248.373,8.6137,0.188341,-1.49716,0.02169,-1.54831,4,-1.62658,-647.323,255.28,4.3,1.776,-8.49036,0.0451566,-2.11062,0.0103282,1.56627,
-737.788,248.405,8.39345,0.194905,-1.15484,0.023099,-1.5469,4,-1.5945,-648.767,255.288,4.3,1.776,-8.83895,0.04589,-2.07173,0.00204852,1.56638,
-736.404,248.438,8.22442,0.198498,-0.88384,0.0240517,-1.54595,4,-1.56162,-650.269,255.295,4.3,1.776,-9.18072,0.0458647,-2.02885,-0.00110264,1.56658,
-735.044,248.472,8.09473,0.199638,-0.68262,0.0246242,-1.54538,4,-1.52836,-651.827,255.303,4.3,1.776,-9.51501,0.0455751,-1.98203,-0.00209054,1.56678,
-733.704,248.505,7.99334,0.198381,-0.543513,0.0248025,-1.5452,4,-1.49517,-653.44,255.31,4.3,1.776,-9.84118,0.0452261,-1.93134,-0.00220487,1.56698,
-732.379,248.538,7.90707,0.196944,-0.509766,0.024893,-1.54511,4,-1.46222,-655.107,255.318,4.3,1.776,-10.1586,0.0448944,-1.87695,-0.00201748,1.56716,
-731.068,248.571,7.82203,0.195725,-0.513504,0.0250042,-1.545,4,-1.42949,-656.825,255.325,4.3,1.776,-10.4662,0.0445993,-1.80299,-0.00183892,1.56732,
-729.772,248.601,7.73578,0.164655,-0.532154,0.0218275,-1.54817,4,-1.39908,-658.594,255.333,4.3,1.776,-10.7575,0.0443239,-1.69408,-0.00172038,1.56746,
-728.49,248.624,7.64551,0.11603,-0.563383,0.0157789,-1.55422,4,-1.37609,-660.41,255.34,4.3,1.776,-11.0314,0.0440722,-1.59282,-0.00155682,1.56759,
-727.224,248.639,7.54877,0.0744685,-0.605306,0.0103482,-1.55965,4,-1.3607,-662.271,255.347,4.3,1.776,-11.2889,0.0438428,-1.49832,-0.00142457,1.5677,
-725.974,248.649,7.44399,0.044209,-0.656293,0.00628453,-1.56372,4,-1.35121,-664.172,255.355,4.3,1.776,-11.5311,0.0436281,-1.40986,-0.00134552,1.5678,
-724.743,248.654,7.32991,0.0236591,-0.714789,0.00346291,-1.56654,4,-1.34583,-666.113,255.362,4.3,1.776,-11.7591,0.0434195,-1.32685,-0.00131755,1.56789,
