-789.402,244.75,5.25601,0.00657884,2.30275,0.000948304,-1.56905,4,-5.24972,-768.5,241.25,4.3,1.776,10,0,0,0,-1.57,-808.5,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-788.494,244.754,5.63884,0.0366777,2.29216,0.00590591,-1.56409,4,-5.24611,-766.833,241.25,4.3,1.776,10,0,0,0,-1.57,-806.833,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-787.523,244.764,6.01945,0.0769587,2.27927,0.0121647,-1.55784,4,-5.23639,-765.167,241.25,4.3,1.776,10,0,0,0,-1.57,-805.167,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-786.488,244.78,6.39749,0.117287,2.26382,0.0178213,-1.55218,4,-5.21987,-763.5,241.25,4.3,1.776,10,0,0,0,-1.57,-803.5,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-785.391,244.803,6.77268,0.152135,2.24554,0.0221002,-1.5479,4,-5.19709,-761.833,241.25,4.3,1.776,10,0,0,0,-1.57,-801.833,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-784.231,244.831,7.14466,0.179336,2.22417,0.0248805,-1.54512,4,-5.16921,-760.167,241.25,4.3,1.776,10,0,0,0,-1.57,-800.167,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243,0.6,0.7,0,0,0,0,-1.57,
-783.009,244.862,7.51296,0.198827,2.19947,0.0263603,-1.54364,4,-5.13751,-758.5,241.25,4.3,1.776,10,0,0,0,-1.57,-798.5,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243.003,0.6,0.7,0,0,0,0,0.000796371,
-781.727,244.897,7.87703,0.211643,2.17123,0.0268486,-1.54315,4,-5.1032,-756.833,241.25,4.3,1.776,10,0,0,0,-1.57,-796.833,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243.051,0.6,0.7,0,0.31662,0,1.9989,0.000796371,
-780.384,244.933,8.23621,0.219228,2.13928,0.0266537,-1.54335,4,-5.06725,-755.167,241.25,4.3,1.776,10,0,0,0,-1.57,-795.167,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243.153,0.6,0.7,0,0.516663,0,2.00043,0.000796371,
-778.982,244.969,8.58996,0.218598,2.10346,0.0255838,-1.54442,4,-5.03073,-753.5,241.25,4.3,1.776,10,0,0,0,-1.57,-793.5,248.25,4.3,1.776,10,0,0,0,-1.57,-730,243.312,0.6,0.7,0,0.916595,0,1.9989,0.000796371,
